All Companies,Symbol,Lot Size (Aug 2025),Lot Size (Sep 2025),Lot Size (Oct 2025)
LLodha Developers,LODHABS,450,450,450
LLarsen & Toubro,LTBS,175,175,175
LL&T Finance,LTFBS,4462,4462,4462
LLTI Mindtree,LTIMBS,150,150,150
LLupin,LUPINBS,425,425,425
MMahindra & Mahindra,M&MBS,200,200,200
MManappuram Finance,MANAPPURAMBS,3000,3000,3000
MMankind Pharma,MANKINDBS,225,225,225
MMarico,MARICOBS,1200,1200,1200
MMaruti Suzuki,MARUTIBS,50,50,50
MMax Healthcare Institute,MAXHEALTHBS,525,525,525
MMazagon Dock Shipbuilders,MAZDOCKBS,175,175,175
MMCX,MCXBS,125,125,125
MMax Financial Services,MFSLBS,800,800,800
SSamvardhana Motherson International,MOTHERSONBS,6150,6150,6150
MMphasis,MPHASISBS,275,275,275
MMuthoot Finance,MUTHOOTFINBS,275,275,275
NNALCO,NATIONALUMBS,3750,3750,3750
IInfo Edge,NAUKRIBS,375,375,375
NNBCC,NBCCBS,6500,6500,6500
NNCC,NCCBS,2700,2700,2700
NNestle,NESTLEINDBS,250,250,250
NNHPC,NHPCBS,6400,6400,6400
NNMDC,NMDCBS,13500,13500,13500
NNTPC,NTPCBS,1500,1500,1500
NNuvama Wealth Management,NUVAMABS,75,75,75
NNykaa,NYKAABS,3125,3125,3125
OOberoi Realty,OBEROIRLTYBS,350,350,350
OOracle Financial Services Software,OFSSBS,75,75,75
OOil India,OILBS,1400,1400,1400
OOil & Natural Gas Corporation,ONGCBS,2250,2250,2250
PPage Industries,PAGEINDBS,15,15,15
PPatanjali Foods,PATANJALIBS,300,300,300
OOne 97 Communications,PAYTMBS,725,725,725
PPersistent Systems,PERSISTENTBS,100,100,100
PPetronet LNG,PETRONETBS,1800,1800,1800
PPower Finance Corporation,PFCBS,1300,1300,1300
PPG Electroplast,PGELBS,700,700,700
PPhoenix Mills,PHOENIXLTDBS,350,350,350
PPidilite Industries,PIDILITINDBS,250,250,250
PPI Industries,PIINDBS,175,175,175
PPunjab National Bank,PNBBS,8000,8000,8000
PPNB Housing Finance,PNBHOUSINGBS,650,650,650
PPB FinTech,POLICYBZRBS,350,350,350
PPolycab,POLYCABBS,125,125,125
PPoonawalla Fincorp,POONAWALLABS,1700,0,0
PPower Grid Corporation of India,POWERGRIDBS,1900,1900,1900
PPiramal Pharma,PPLPHARMABS,2500,2500,2500
PPrestige Estates Projects,PRESTIGEBS,450,450,450
RRBL Bank,RBLBANKBS,3175,3175,3175
RREC,RECLTDBS,1275,1275,1275
RReliance Industries,RELIANCEBS,500,500,500
RRail Vikas Nigam,RVNLBS,1375,1375,1375
SSteel Authority of India,SAILBS,4700,4700,4700
SSBI Cards,SBICARDBS,800,800,800
SSBI Life Insurance,SBILIFEBS,375,375,375
SState Bank of India,SBINBS,750,750,750
SShree Cement,SHREECEMBS,25,25,25
SShriram Finance,SHRIRAMFINBS,825,825,825
SSiemens,SIEMENSBS,125,125,125
SSJVN,SJVNBS,5875,0,0
SSolar Industries,SOLARINDSBS,75,75,75
SSona BLW Precision Forgings,SONACOMSBS,1050,1050,1050
SSRF,SRFBS,200,200,200
SSun Pharmaceutical,SUNPHARMABS,350,350,350
SSupreme Industries,SUPREMEINDBS,175,175,175
